affiche-demon-sac.jpg,Une affiche CDLS;
whiteliliesmp4.mp4,Author: mskrzyp
Author webpage: https://vimeo.com/mskrzyp125
Licence: ATTRIBUTION LICENSE 3.0 (http://creativecommons.org/licenses/by/3.0/us/)
 Downloaded at Mazwai.com;;
tp-12-star-trek.WAV,Un travail réalisé en classe;
affiche-etoile.jpg,Une autre affiche CDLS;
affiche-terre.jpg,Une dernière affiche CDLS;
bdd-insertion-utilisateurs - Feuille 1.csv,cd;
bdd-insertion-valeur-OEUVRE - Feuille 1.csv,testtgr;
bdd-insertion-valeur-OEUVRE - Feuille 1.csv,littlehkorp;
,jioj;
,fze;

vespabault.png,mignon;
vespabault.png,c bo;
tablette mamoune.png,bo;
vespabault.png,EF;
grande_affiche-terre.jpg,jn;
grande_affiche-demon-sac.jpg,ada;
grande_affiche-demon-sac.jpg,k;;
grande_affiche-etoile.jpg,zlfkje;
vespabault.png,sfjn;
Desert.jpg,désert désert désert;
Jellyfish.jpg,jellyfishjellyfishjellyfishjellyfishjellyfishjellyfish;
vid_whiteliliesmp4.mp4,test vidéo;
aud_tp-12-star-trek.WAV,test audio;
aud_tp-12-star-trek.WAV,test audio;
img test.jpeg,dsq;
img test.jpeg,tez;
img test.jpeg,test;
img test.jpeg,desc;
img test.jpeg,img test;
oie.jpeg,ceci est peut être une oie;
oie.jpeg,Oui ou non ???;
oie.jpeg,Est-ce que cela marche ?;
img test.jpeg,s'il vous plaît;
oie.jpeg,ça marche pas;
vid_vid_whiteliliesmp4.mp4,test pour savoir si ça marche ENFIN ou non;
oie.jpeg,L'oie marche-t-elle ?;
oie.jpeg,OIE OIE OIE OIE DESCRIPTION;
oie.jpeg,ninij;
oie.jpeg,Peut être ;
vid_whitelilies.mp4,lol;
aud_aud_tp-12-star-trek.WAV,AUDO;
aud_aud_tp-12-star-trek.WAV,test affichage image desc;
vid_vid_whitelilies.mp4,Le nom de cette vignette va-t-il s'afficher ou non ? Il s'agit là d'un suspens insoutenable !;
,fdf;
vid_whitelilies.mp4,test compatibilité;
vid_whitelilies.mp4,fdsfnds;
vid_whitelilies.mp4,rez;
vid_whitelilies.mp4,umbrella vidéo test ajout sans vignette desc;
vid_whitelilies.mp4,test vidéo et vignette;
vid_vid_whitelilies.mp4,huih;
vid_vid_whitelilies.mp4,dfs;
vid_vid_whitelilies.mp4,fds;
vid_vid_vid_whitelilies.mp4,fds;
vid_vid_whitelilies.mp4,just killed a manjust killed a manjust killed a man;
TEST.jpeg,Test de fleurs;
vid_vid_vid_whitelilies.mp4,test vidéo et vig;grande_vespabault.png,Test Vespabo desc;
vid_whitelilies.mp4,Test à 23h;
vid_vid_whitelilies.mp4,Test à 23h;
aud_aud_tp-12-star-trek.WAV,Test desc audio 23h;
