affiche-demon-sac.jpg,Démon;
whiteliliesmp4.mp4,Une fleur;
tp-12-star-trek.WAV,Star Trek;
affiche-etoile.jpg,Etoile;
affiche-terre.jpg,Terre;
bdd-insertion-utilisateurs - Feuille 1.csv,TITRE;
bdd-insertion-valeur-OEUVRE - Feuille 1.csv,tewt;
bdd-insertion-valeur-OEUVRE - Feuille 1.csv,krlnfkre;
,krlnfkre;
,f;
vespabault.png,vesphabault;
vespabault.png,vesphabault;
tablette mamoune.png,wow;
vespabault.png,VespHabault;
grande_affiche-terre.jpg,Affiche terre;
grande_affiche-demon-sac.jpg,sac;
grande_affiche-demon-sac.jpg,sac;
grande_affiche-etoile.jpg,etoile;
vespabault.png,habault;
